in:Index,out:↓ Highway visibility score,out:↓ Res  area visibility score,out:↑ Mountains visibility score,out:↑ Open view perc,out:↓ Privacy loss score,img_1,img_2,img_3,img_4,img_5,threeD
36,0.520018,0.43525,16.901408,32.355243,1.585833,Index36_Highway-view.png,Index36_Neighbor-view.png,Index36_Mountain view.png,Index36_Range-view.png,Index36_Privacy-view.png,Index36.json
37,0.53632,0.42873,16.150235,31.150235,1.089953,Index37_Highway-view.png,Index37_Neighbor-view.png,Index37_Mountain view.png,Index37_Range-view.png,Index37_Privacy-view.png,Index37.json
38,0.493936,0.423839,16.85446,30.399061,3.33347,Index38_Highway-view.png,Index38_Neighbor-view.png,Index38_Mountain view.png,Index38_Range-view.png,Index38_Privacy-view.png,Index38.json
39,0.583594,0.384716,15.618153,29.804382,1.898542,Index39_Highway-view.png,Index39_Neighbor-view.png,Index39_Mountain view.png,Index39_Range-view.png,Index39_Privacy-view.png,Index39.json
40,0.606416,0.392866,16.00939,30.062598,2.229811,Index40_Highway-view.png,Index40_Neighbor-view.png,Index40_Mountain view.png,Index40_Range-view.png,Index40_Privacy-view.png,Index40.json
41,0.560772,0.405908,17.13615,30.657277,1.978979,Index41_Highway-view.png,Index41_Neighbor-view.png,Index41_Mountain view.png,Index41_Range-view.png,Index41_Privacy-view.png,Index41.json
42,0.614567,0.384716,16.57277,31.00939,1.476456,Index42_Highway-view.png,Index42_Neighbor-view.png,Index42_Mountain view.png,Index42_Range-view.png,Index42_Privacy-view.png,Index42.json
43,0.603156,0.445031,18.059468,33.599374,1.249335,Index43_Highway-view.png,Index43_Neighbor-view.png,Index43_Mountain view.png,Index43_Range-view.png,Index43_Privacy-view.png,Index43.json
44,0.572183,0.397757,17.527387,31.220657,1.819699,Index44_Highway-view.png,Index44_Neighbor-view.png,Index44_Mountain view.png,Index44_Range-view.png,Index44_Privacy-view.png,Index44.json
45,0.585224,0.422209,15.805947,31.29108,1.201893,Index45_Highway-view.png,Index45_Neighbor-view.png,Index45_Mountain view.png,Index45_Range-view.png,Index45_Privacy-view.png,Index45.json
46,0.608046,0.394497,16.056338,30.219092,2.242567,Index46_Highway-view.png,Index46_Neighbor-view.png,Index46_Mountain view.png,Index46_Range-view.png,Index46_Privacy-view.png,Index46.json
47,0.612937,0.409168,18.153365,33.004695,0.958857,Index47_Highway-view.png,Index47_Neighbor-view.png,Index47_Mountain view.png,Index47_Range-view.png,Index47_Privacy-view.png,Index47.json
48,0.577074,0.396127,15.805947,30.657277,2.651534,Index48_Highway-view.png,Index48_Neighbor-view.png,Index48_Mountain view.png,Index48_Range-view.png,Index48_Privacy-view.png,Index48.json
49,0.586854,0.383086,15.305164,29.334898,2.098725,Index49_Highway-view.png,Index49_Neighbor-view.png,Index49_Mountain view.png,Index49_Range-view.png,Index49_Privacy-view.png,Index49.json
50,0.546101,0.4271,16.948357,32.535211,1.083035,Index50_Highway-view.png,Index50_Neighbor-view.png,Index50_Mountain view.png,Index50_Range-view.png,Index50_Privacy-view.png,Index50.json
51,0.546101,0.4271,16.948357,32.535211,1.083035,Index50_Highway-view.png,Index50_Neighbor-view.png,Index50_Mountain view.png,Index50_Range-view.png,Index50_Privacy-view.png,Index50.json
52,0.601526,0.397757,18.075117,32.120501,1.633662,Index52_Highway-view.png,Index52_Neighbor-view.png,Index52_Mountain view.png,Index52_Range-view.png,Index52_Privacy-view.png,Index52.json
53,0.601526,0.396127,17.261346,32.56651,0.854706,Index53_Highway-view.png,Index53_Neighbor-view.png,Index53_Mountain view.png,Index53_Range-view.png,Index53_Privacy-view.png,Index53.json
54,0.567293,0.4271,16.384977,31.384977,2.042823,Index54_Highway-view.png,Index54_Neighbor-view.png,Index54_Mountain view.png,Index54_Range-view.png,Index54_Privacy-view.png,Index54.json
55,0.547731,0.401017,17.026604,31.173709,1.950809,Index55_Highway-view.png,Index55_Neighbor-view.png,Index55_Mountain view.png,Index55_Range-view.png,Index55_Privacy-view.png,Index55.json
56,0.586854,0.422209,17.13615,32.683881,1.017642,Index56_Highway-view.png,Index56_Neighbor-view.png,Index56_Mountain view.png,Index56_Range-view.png,Index56_Privacy-view.png,Index56.json
57,0.612937,0.401017,16.400626,31.197183,1.971242,Index57_Highway-view.png,Index57_Neighbor-view.png,Index57_Mountain view.png,Index57_Range-view.png,Index57_Privacy-view.png,Index57.json
58,0.498826,0.438511,17.558685,30.978091,1.780291,Index58_Highway-view.png,Index58_Neighbor-view.png,Index58_Mountain view.png,Index58_Range-view.png,Index58_Privacy-view.png,Index58.json
59,0.590115,0.378195,16.087637,30.43036,2.094158,Index59_Highway-view.png,Index59_Neighbor-view.png,Index59_Mountain view.png,Index59_Range-view.png,Index59_Privacy-view.png,Index59.json
60,0.581964,0.32603,17.276995,30.719875,2.046247,Index60_Highway-view.png,Index60_Neighbor-view.png,Index60_Mountain view.png,Index60_Range-view.png,Index60_Privacy-view.png,Index60.json
